Name,Make,Model,Year,VIN
Savah,Subaru,Outback,2019,4S4BSANC6K3352864
Sybyl,Pontiac,Solstice,2008,1G2MB35B28Y123226
,Subaru,Legacy,2010,4S3BMCK69A3230183
